Title,Summary,Source,Source,Topic,Business line
CAE signs commercial aviation training contracts in Asia,"CAE announced at the Asia Pacific Airline Training Summit (APATS) the signing of a commercial aviation training contract with a brand-new Korean low-cost carrier in South Korea, Fly Gangwon.",Skies Magazine,Skies Magazine,Contract,Comercial
Flight and fight: the race to own sky-high internet,"Inflight internet connectivity is big money for the aerospace industry. Just to enter the game, building and lofting a satellite costs a cool half a billion US dollars. Meanwhile, the London School of Economics estimates that annual airline industry efficiency savings from widespread adoption of inflight internet will reach around US$15 billion a year by 2035. Roughly a third of these benefits will come from the flightdeck. Global fuel savings of two to three per cent will also notch up the billions.",Australian Aviation,Australian Aviation,Tech. Info,Comercial
"Força Aérea dos EUA intensifica uso de blockchain: o que mais o Pentágono está fazendo?
","Nesta semana, foram relatados dois relatórios da startup de contratos inteligentes Simba Chain e da empresa de gerenciamento de dados blockchain Constellation , que anunciaram contratos com a Força Aérea dos Estados Unidos.",Cointelegraph (NotÃ­cias Bitcoin & Ethereum Blockchain),Cointelegraph (NotÃ­cias Bitcoin & Ethereum Blockchain),Tech. Info,Military
Aviation Corp. selects Norman for expansion,"Aircraft manufacturer Commander Aircraft Corp. purchased land in Norman and plans to build an.Once the facility is built, the company will have the space for inventory of parts, service, storage, repair.""We will be filling engineering positions in the next three years. .... Housekeeper, Bartenders & Barbacks, Stock Clerks",Norman Transcript,Norman Transcript,Contract,Generic
Eurocontrol Cautions for Step-change in Cyber-attacks,"Eurocontrol is calling on the industry to develop its defensive capability against cyber threats. The agency is urging all stakeholders to take a collaborative approach to building a federated, trusted cyber-resilience framework as the number of cyber-attacks on aviation rises.",Aviation International News,Aviation International News,Cybersecurity,Generic
Spairliners Appoints Benoît Rollier as New Managing Director and Chief Financial Officer,"Benoît Rollier will assume the role of managing director and chief financial  officer at Spairliners, a joint venture between Lufthansa Technik and Air France Industries KLM Engineering & Maintenance.",AviationPros.com,AviationPros.com,Team,Generic
"Bombardier Business Aircraft USA Maintenance and Operations Conference 2019 Highlights New Products, Miami Service Centre Progress","Bombardier Business Aircraft is pleased to announce that the 2019 Maintenance and Operations (M&O) Conference in Fort Lauderdale, Florida on August 27-29 was a resounding success, offering Bombardier customers and operators from around the world a unique opportunity to learn about Bombardier’s latest in-service activities, world-class products and key program development updates – including the development of the new state-of-the-art Miami Service Centre in Miami-Dade County.",GlobeNewswire,GlobeNewswire,New service,Generic
Belgian FPS Mobility and Transport expands online services for the aviation sector with Aviation Portal,Belgian FPS Mobility and Transport expands online services for the aviation sector with Aviation Portal,Aviation24.be,Aviation24.be,New service,Generic
Iridium and Thales Expand Partnership to Deliver Aircraft,"Iridium Communications Inc. (NASDAQ: IRDM) today announced Thales as the newest Iridium Certus aviation service provider.  While already developing the Iridium Certus-based FlytLINK terminal and antenna, Thales will now be able to offer both Iridium Certus terminals and Iridium Certus connectivity services to business jets, commercial aircraft, rotorcraft, general aviation and UAVs.",Travel Daily News International,Travel Daily News International,New service,Generic
Jeppesen Tailored Charts for Avionics Enhances Flight Deck Operations,Boeing is offering customers a new navigation service to enhance flight deck operations.,ASIATravelTips.com,ASIATravelTips.com,Contract,Generic
Rolls-Royce and Widerøe launch joint zero-emissions aviation research,"Rolls-Royce and Norwegian Airline Widerøe, the largest regional airline in Scandinavia, have launched a joint research programme on zero-emissions aviation.",ADS Advance,ADS Advance,Tech. Info,Generic
Israel to Modernise Ukrainian MiG-29 Jets for $440M,"Eleven of Ukraine’s MiG-29 fighters could be armed with advanced weapons along with receiving new capabilities owing to Israel’s offer of modernising the Russian-origin aircraft at a total cost of $440 million, according to a report.",Defenseworld.net,Defenseworld.net,Contract,Military
BAE Systems Moves Into the Aircraft Electrification Market,"BAE Systems is moving into the aircraft electrification market, preparing to offer a suite of products to be used on platforms ranging from regional jets to small urban air mobility aircraft.",Aviation Today,Aviation Today,Tech. Info,Generic
"Avfuel to demonstrate viability of sustainable aviation fuel in Wyoming, US","US aviation fuel and services provider Avfuel will demonstrate the viability of sustainable aviation fuel (SAF) at Jackson Hole Airport in Wyoming, US at the start of September.",Biofuels International Magazine,Biofuels International Magazine,Tech. Info,Generic
MRO Software Must Collaborate Too,Easy interfaces are key to efficient exploitation of analytic and predictive tools.,MRO Network,MRO Network,Tech. Info,Generic
"This Dutch startup has developed an intelligent, self-learning system that inspects jet engines efficiently","The aviation industry is super complicated and amazingly high stakes. Due to this exact reason governments across the globe made it mandatory for detailed inspections of aircraft at regular intervals. Some aspects of aircraft inspections can be performed quickly, while the remaining can only be accomplished with special instruments.",Silicon Canals,Silicon Canals,AI,Generic
Creating batteries to power air travel,"Researchers at the Ohio State University Center for Automotive Research have created new computer models to predict the life and performance of batteries that could power some passenger airplanes—a step forward for cleaner, more efficient air travel.",Tech Xplore,Tech Xplore,New technology,Generic
Tech startups tout AI to airlines seeking revenue boost,"Technology startups are luring airlines with demand-forecasting tools powered by artificial intelligence (AI), promising to boost efficiency at a time of rising fuel costs and upheaval in trade relations that has clouded the aviation sector’s outlook.",Euronews,Euronews,AI,Generic
Why Tomorrow's Aircraft Will Be Hybrids,"Since the 1950s, aerospace has made incredible progress in increasing both the power and efficiency of engines. Yet, recent studies suggest engine technology may be close to the thermodynamic limits on the amount of energy it can extract from carbon-based fuel at a reasonable investment.",Forbes,Forbes,New technology,Generic
"A Robot Just Passed A Pilot’s Test, Paving The Way For Unmanned Airplanes","Uber and Waymo might be dominating the conversation of the future of travel automation, but the Air Force quietly won a huge victory last week, when their ROBOpilot bot passed the FAA’s pilot test and completed its first flight.",The Inquisitr,The Inquisitr,AI,Generic
TRU Simulation and Training Signs Agreements with Cathay Pacific,"TRU Simulation + Training, a Textron Inc. announced that it has signed an agreement with Cathay Pacific Airways, flag carrier of Hong Kong, to provide three new flight simulation training devices.",AviationPros.com,AviationPros.com,Contract,Comercial
CSAF Private Pilot Scholarship Program changing face of US aviation,"“There are a lot of great aviation programs around doing good work, but the numbers and pilot diversity have not changed,” said Gary Morrison, Aviation Accreditation Board International chairperson. “That is not the case with Air Force Junior ROTC. The program provides quantifiable measurements of success and access to the single largest group of competitive and diverse students. AABI is excited to be an integral part in this very innovative program to reach students who might not otherwise be able to fulfill their dreams in aviation.”",Stripes Korea,Stripes Korea,Training,Generic
CAE to Open New Training Centers in Bangkok and New Delhi to Meet Growing Need for Pilots in the Region,"CAE announced at the Asia Pacific Airline Training Summit (APATS) that it’s expanding its training capacity in Asia with a brand-new training center in Bangkok, Thailand, to support Thai AirAsia’s growth in the region. In addition, CAE will open a brand-new training center in Gurugram, National Capital Region (NCR) to support pilot training needs in India.",AviationPros.com,AviationPros.com,Expansion,Generic
